results/objectId,results/location/__type,results/location/latitude,results/location/longitude,results/cityId,results/name,results/country,results/countryCode,results/featureCode,results/adminCode,results/population,results/createdAt,results/updatedAt,results/muni
P22fWFrLjS,GeoPoint,42.71667,24.13333,725283,Zlatitsa,Bulgaria,BG,PPL,58,5786,2019-12-12T18:54:51.268Z,2019-12-12T18:54:51.268Z,
BFox5vwGAI,GeoPoint,42.7136,27.75867,725816,Sveti Vlas,Bulgaria,BG,PPL,39,3875,2019-12-12T18:54:51.269Z,2019-12-12T18:54:51.269Z,BGS15-02
l5tYeXSX9r,GeoPoint,43.76036,26.68063,725435,Zavet,Bulgaria,BG,PPLA2,52,3589,2019-12-12T18:54:51.268Z,2019-12-12T18:54:51.268Z,
kQmQJrylAZ,GeoPoint,42.02528,23.68417,725586,Yakoruda,Bulgaria,BG,PPL,38,6008,2019-12-12T18:54:51.268Z,2019-12-12T18:54:51.268Z,
CyVt2f0FTH,GeoPoint,43.19528,23.28611,725623,Varshets,Bulgaria,BG,PPL,47,7512,2019-12-12T18:54:51.268Z,2019-12-12T18:54:51.268Z,
6W382LMwDD,GeoPoint,43,26.63333,725649,Varbitsa,Bulgaria,BG,PPL,54,3803,2019-12-12T18:54:51.268Z,2019-12-12T18:54:51.268Z,
ztAiIScurS,GeoPoint,42.47889,22.74917,725402,Zemen,Bulgaria,BG,PPL,49,2107,2019-12-12T18:54:51.268Z,2019-12-12T18:54:51.268Z,
A8bzSff2Q9,GeoPoint,43.1896,27.70429,725213,Beloslav,Bulgaria,BG,PPLA2,61,7989,2019-12-12T18:54:51.268Z,2019-12-12T18:54:51.268Z,
Fi0HEgkfJe,GeoPoint,43.7,26.26667,725935,Vetovo,Bulgaria,BG,PPL,53,5175,2019-12-12T18:54:51.269Z,2019-12-12T18:54:51.269Z,
9lD66vq7tR,GeoPoint,42.48333,26.5,725578,Yambol,Bulgaria,BG,PPLA,65,80116,2019-12-12T18:54:51.268Z,2019-12-12T18:54:51.268Z,
yYLw06BQ8z,GeoPoint,43.05,25.9,725295,Zlataritsa,Bulgaria,BG,PPL,62,2468,2019-12-12T18:54:51.268Z,2019-12-12T18:54:51.268Z,
A6E3BtqdCE,GeoPoint,43.21,23.5625,725712,Vratsa,Bulgaria,BG,PPLA,64,64941,2019-12-12T18:54:51.269Z,2019-12-12T18:54:51.269Z,
F731T4GWVl,GeoPoint,41.3795,25.09605,725271,Zlatograd,Bulgaria,BG,PPLA2,57,7331,2019-12-12T18:54:51.268Z,2019-12-12T18:54:51.268Z,
Qbwe5Bq5cW,GeoPoint,43.31667,27.43333,725924,Vetrino,Bulgaria,BG,PPL,61,1368,2019-12-12T18:54:51.269Z,2019-12-12T18:54:51.269Z,
Tn21efb2FE,GeoPoint,43.99,22.8725,725905,Vidin,Bulgaria,BG,PPLA,63,54409,2019-12-12T18:54:51.269Z,2019-12-12T18:54:51.269Z,
MDhgzLSpzA,GeoPoint,43.69281,23.44518,725683,Valchedram,Bulgaria,BG,PPLA2,47,5207,2019-12-12T18:54:51.269Z,2019-12-12T18:54:51.269Z,
KAm7dUfh3Z,GeoPoint,43.4,27.55,725679,Valchidol,Bulgaria,BG,PPL,61,3697,2019-12-12T18:54:51.268Z,2019-12-12T18:54:51.268Z,
UG5DXtCoj8,GeoPoint,43.63472,23.3535,725588,Yakimovo,Bulgaria,BG,PPL,47,2665,2019-12-12T18:54:51.268Z,2019-12-12T18:54:51.268Z,
UpSj6brKvI,GeoPoint,42.4,25.08333,725404,Zelenikovo,Bulgaria,BG,PPLA3,51,0,2019-12-12T18:54:51.268Z,2019-12-12T18:54:51.268Z,PDV07-05
MDrNo6qva2,GeoPoint,43.03139,24.11278,725611,Yablanitsa,Bulgaria,BG,PPL,46,3237,2019-12-12T18:54:51.268Z,2019-12-12T18:54:51.268Z,
IV5pHRJn5p,GeoPoint,43.1,24.41667,726114,Ugarchin,Bulgaria,BG,PPL,46,2965,2019-12-12T18:54:51.728Z,2019-12-12T18:54:51.728Z,
dioTXNJw0s,GeoPoint,42.7,25.9,726130,Tvarditsa,Bulgaria,BG,PPL,56,6519,2019-12-12T18:54:51.728Z,2019-12-12T18:54:51.728Z,
PBd0zD0NyU,GeoPoint,43.55,26.93333,725967,Venets,Bulgaria,BG,PPL,54,1450,2019-12-12T18:54:51.727Z,2019-12-12T18:54:51.727Z,
1P7KxyhnfC,GeoPoint,42.02754,23.99155,725988,Velingrad,Bulgaria,BG,PPL,48,24036,2019-12-12T18:54:51.728Z,2019-12-12T18:54:51.728Z,
a8K1LDhxWb,GeoPoint,43.21667,27.91667,726050,Varna,Bulgaria,BG,PPLA,61,312770,2019-12-12T18:54:51.728Z,2019-12-12T18:54:51.728Z,
6eqGBk98sJ,GeoPoint,44.05,26.61667,726141,Tutrakan,Bulgaria,BG,PPLA2,55,10022,2019-12-12T18:54:51.728Z,2019-12-12T18:54:51.728Z,
LOJBfp3YXl,GeoPoint,43.08124,25.62904,725993,Veliko Tŭrnovo,Bulgaria,BG,PPLA,62,66217,2019-12-12T18:54:51.728Z,2019-12-12T18:54:51.728Z,
e7lSqnuOa0,GeoPoint,42.83528,22.65167,726307,Tran,Bulgaria,BG,PPLA2,49,3102,2019-12-12T18:54:51.728Z,2019-12-12T18:54:51.728Z,
28FWDdanoO,GeoPoint,43.53588,25.65764,726245,Tsenovo,Bulgaria,BG,PPLA2,53,2229,2019-12-12T18:54:51.728Z,2019-12-12T18:54:51.728Z,
WrYQ96llyz,GeoPoint,42.89427,24.71589,726320,Troyan,Bulgaria,BG,PPL,46,21162,2019-12-12T18:54:51.728Z,2019-12-12T18:54:51.728Z,
BEEnnUYkW8,GeoPoint,43.2512,26.57215,726174,Targovishte,Bulgaria,BG,PPLA,60,37774,2019-12-12T18:54:51.728Z,2019-12-12T18:54:51.728Z,
EcD52OnM4j,GeoPoint,42.86667,25.5,726287,Tryavna,Bulgaria,BG,PPL,41,13818,2019-12-12T18:54:51.728Z,2019-12-12T18:54:51.728Z,
eT6RttVnED,GeoPoint,43.85,26.46667,726434,Tochilari,Bulgaria,BG,PPLA3,52,0,2019-12-12T18:54:51.728Z,2019-12-12T18:54:51.728Z,RAZ16-14
O6nrGZjEaY,GeoPoint,42.08333,26.33333,726384,Topolovgrad,Bulgaria,BG,PPL,43,6464,2019-12-12T18:54:51.728Z,2019-12-12T18:54:51.728Z,
